,0
test_split_0,"[3.71794946e-04 7.67349337e-03 1.44202623e-02 7.17747175e-04
 2.14937730e-11 0.00000000e+00 7.73642265e-02 0.00000000e+00
 1.54421316e-03 1.30444649e-01 2.28531115e-02 0.00000000e+00
 0.00000000e+00 1.07440509e-01 8.88775822e-07 1.89835083e-05
 1.13949895e-06 7.60364628e-03 4.45903232e-10 0.00000000e+00
 7.70989529e-07 2.58344290e-02 4.61315692e-03 1.89417493e-02
 1.12893934e-02 2.79151328e-11 3.07415879e-08 4.17043188e-03
 0.00000000e+00 2.02418600e-05 2.64620016e-03 0.00000000e+00
 2.68650681e-03 1.17867654e-02 2.59750048e-10 5.31054388e-09
 2.51778700e-02 9.74169800e-06 5.34049910e-02 2.23871015e-02
 1.12552552e-10 1.77231249e-02 4.86975685e-03 5.11621797e-03
 5.57418767e-03 0.00000000e+00 1.39075015e-03 5.97032447e-02
 5.37729224e-05 2.90227546e-02 1.39287208e-01 2.60081595e-02
 1.48377824e-02 1.36521463e-02 1.92051307e-02 9.93509697e-04
 2.99262803e-02 7.37892104e-02 3.23368908e-07 4.46520454e-04]"
test_split_1,"[5.53973146e-03 2.17720905e-02 0.00000000e+00 2.78465280e-02
 2.58248188e-10 2.11372237e-03 1.53614231e-03 0.00000000e+00
 7.39825654e-03 2.63548794e-11 1.48968532e-03 1.30961192e-02
 2.95861555e-04 4.33122761e-02 4.60579621e-03 4.43325046e-10
 2.89676166e-09 1.46387828e-03 1.56130539e-02 1.88736143e-05
 1.53209917e-06 1.02777016e-02 2.62216163e-06 1.88305245e-06
 0.00000000e+00 4.10092301e-06 8.91251391e-09 2.45076142e-03
 1.70274591e-02 5.03883913e-03 0.00000000e+00 9.40389501e-03
 1.24883087e-08 6.51171294e-04 4.30202027e-03 7.50263006e-05
 0.00000000e+00 0.00000000e+00 4.27920883e-03 4.45407553e-04
 1.75540824e-02 2.16207701e-02 3.09767867e-05 7.35562833e-02
 4.43213830e-03 1.74013671e-02 1.20507257e-02 8.06382541e-03
 2.03230821e-02 5.86648215e-03 1.49158171e-02 3.91408784e-09
 4.43944992e-04 2.29026115e-02 0.00000000e+00 4.68914350e-05
 5.79509409e-04 2.31073873e-02 1.03548073e-02 2.89849354e-09]"
test_split_2,"[1.07686992e-02 2.51928827e-02 4.29164584e-04 1.98289212e-03
 4.83405426e-03 8.17318574e-04 1.78847781e-03 0.00000000e+00
 4.63854943e-02 3.08910194e-05 1.64960574e-10 1.30446951e-02
 2.51587313e-02 1.51695389e-06 1.36675343e-07 1.41014344e-07
 0.00000000e+00 2.89849354e-09 5.72003507e-05 7.67024148e-07
 1.19235975e-02 4.15007669e-03 2.51633805e-04 2.95857649e-04
 4.86592511e-03 4.99166714e-02 2.45010566e-03 1.02677918e-02
 1.80898587e-02 4.14790741e-03 3.53880959e-09 5.95016339e-10
 1.17329869e-02 0.00000000e+00 1.05693885e-01 2.76378996e-02
 2.38942849e-02 1.38510458e-02 1.74181924e-02 2.58802614e-02
 5.07134534e-04 7.88898743e-02 1.63711986e-02 5.57504620e-03
 5.51891396e-03 5.78536917e-03 2.25935010e-02 2.84658480e-04
 0.00000000e+00 1.05681577e-02 3.65298972e-03 0.00000000e+00
 2.75141679e-02 3.21499195e-07 1.58223965e-02 9.20243000e-08
 0.00000000e+00 1.72339404e-02 6.89259886e-05 0.00000000e+00]"
test_split_3,"[6.47656649e-03 2.49554041e-02 5.72003399e-05 1.64960574e-10
 1.36246897e-11 7.50261228e-05 1.98276616e-03 1.21002139e-03
 2.17941518e-02 0.00000000e+00 3.05133842e-02 7.59512505e-09
 1.76398438e-02 0.00000000e+00 2.13434009e-02 6.80685116e-03
 4.10092458e-06 1.70488882e-02 0.00000000e+00 4.93423370e-03
 2.89676166e-09 1.95232022e-10 9.66283388e-03 7.62715817e-03
 1.19239610e-02 4.39020212e-02 0.00000000e+00 1.49218288e-02
 2.63188121e-03 4.14893180e-03 0.00000000e+00 1.03575074e-02
 6.02989903e-02 3.34985643e-02 8.91251391e-09 3.09768270e-05
 0.00000000e+00 2.61336823e-10 7.30323408e-02 9.40468128e-03
 1.38613495e-02 5.71631358e-02 7.44653951e-03 1.11901780e-10
 2.16147671e-02 4.23074567e-02 1.97723292e-02 1.04168541e-02
 8.06645829e-03 2.84648844e-04 6.39315718e-05 2.74912933e-02
 1.38267126e-03 4.85833236e-02 1.63619256e-02 5.52136613e-03
 3.30281395e-07 4.75365734e-07 4.78219069e-07 8.05164019e-03
 1.56094891e-02]"
test_split_4,"[4.75365764e-07 2.24581707e-02 8.17328786e-04 1.94026817e-03
 0.00000000e+00 1.22524259e-02 1.36675343e-07 5.95593266e-03
 2.03095035e-02 2.66109080e-04 3.25916851e-02 0.00000000e+00
 4.60781143e-03 9.42945794e-05 1.36246897e-11 0.00000000e+00
 0.00000000e+00 5.34618052e-05 2.91935904e-02 9.68533211e-06
 2.63548794e-11 7.56042651e-03 4.73835658e-03 6.51139498e-04
 3.69641961e-04 2.13694973e-11 1.13399217e-63 4.93956934e-09
 9.66538926e-03 0.00000000e+00 1.79444129e-02 1.57933546e-02
 2.90324071e-02 4.84020992e-03 1.90296713e-02 2.58966722e-02
 4.68913307e-05 2.16412051e-02 4.01669880e-09 1.18990346e-02
 4.28044558e-03 2.16706635e-02 1.42517152e-02 3.65294120e-03
 6.24762594e-03 0.00000000e+00 5.56833352e-01 9.87781422e-04
 1.80199049e-02 4.69179097e-02 4.60283448e-02 1.36076139e-02
 2.99705900e-02 3.53880959e-09 6.47997119e-03 8.14272298e-02
 3.30281389e-07 2.97080413e-06 0.00000000e+00 8.38348507e-03
 1.63874945e-02]"
