,ID_0,ID_1,ID_2,ID_3,ID_4,avg
10,1.0,1.0,1.0,1.0,1.0,1.0
11,0.9922666666666666,0.9527999999999999,0.976,0.9477333333333334,0.9469333333333333,0.9631466666666666
12,0.9658666666666667,0.9837333333333333,0.9837333333333333,0.984,0.9834666666666667,0.98016
13,0.976,0.9464,0.9821333333333333,0.9560000000000001,0.9816,0.9684266666666665
14,0.9786666666666667,0.9783999999999999,0.9765333333333335,0.9752000000000001,0.9850666666666668,0.9787733333333334
15,0.9917333333333334,0.9901333333333333,0.9904,0.9901333333333333,0.9890666666666666,0.9902933333333334
16,0.9989333333333335,0.9960000000000001,0.9970666666666667,0.9965333333333334,0.9960000000000001,0.9969066666666666
17,1.0,0.9994666666666667,0.9994666666666667,0.9991999999999999,0.9989333333333332,0.9994133333333334
18,1.0,0.9997333333333334,1.0,0.9997333333333334,0.9997333333333334,0.9998400000000001
19,1.0,0.9997333333333334,1.0,1.0,1.0,0.9999466666666667
20,1.0,0.9997333333333334,1.0,1.0,1.0,0.9999466666666667
21,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,0.9914666666666667,1.0,1.0,0.9982933333333334
23,0.9984,1.0,1.0,1.0,1.0,0.99968
24,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,0.9925333333333335,0.9901333333333333,0.9965333333333334
33,1.0,1.0,1.0,1.0,0.9978666666666666,0.9995733333333334
34,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0
54,0.9906666666666666,1.0,1.0,1.0,1.0,0.9981333333333333
55,0.9960000000000001,1.0,1.0,1.0,1.0,0.9992000000000001
56,1.0,1.0,1.0,1.0,0.9970666666666667,0.9994133333333334
57,1.0,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,0.9885333333333334,1.0,0.9977066666666665
59,1.0,0.9914666666666667,1.0,0.9909333333333332,1.0,0.99648
60,0.9954666666666666,1.0,1.0,1.0,0.9949333333333333,0.9980800000000001
