Alpha,Std
0.01,0.019450056681667716
0.02,0.03279743636424929
0.03,0.03883337673063292
0.04,0.03979336330480659
0.05,0.04491568654618335
0.06,0.04229990018683585
0.07,0.042358754995365865
0.08,0.04276196960544279
0.09,0.03949061415232251
0.1,0.03676432276544398
0.11,0.03638502986812681
0.12,0.03696396519948084
0.13,0.036972061780559506
0.14,0.036534257911654364
0.15,0.03391737876460157
0.16,0.032494306032794774
0.17,0.03016653198518519
0.18,0.028608599646247547
0.19,0.031861107595732775
0.2,0.02979861406055086
0.21,0.028068665233914828
0.22,0.026051011911255882
0.23,0.026164025919766822
0.24,0.023909338085160537
0.25,0.022835176582173263
0.26,0.02128219410353994
0.27,0.02250034977043507
0.28,0.021438652425014252
0.29,0.021929424839854172
0.3,0.021919495615332546
