Alpha,Std
0.01,8.652413453383641
0.02,7.920492589071725
0.03,7.582900212618073
0.04,7.244887826080818
0.05,7.127123982573459
0.06,6.897817190116847
0.07,6.738314999258979
0.08,6.491920958180929
0.09,6.2865772831348234
0.1,6.136793878604372
0.11,5.949765625831802
0.12,5.685270676548574
0.13,5.44899505543158
0.14,5.2635588628393055
0.15,5.140683791262565
0.16,5.029524751566163
0.17,4.8113065915687985
0.18,4.692723615139901
0.19,4.54394141003966
0.2,4.310568878017595
0.21,4.120750586360133
0.22,3.8808604582592015
0.23,3.734677485451605
0.24,3.590873816204565
0.25,3.4645287453522084
0.26,3.3398356862343324
0.27,3.216199950631372
0.28,3.08553405636778
0.29,2.9524817723807923
0.3,2.8416820641258465
