Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,22.234917107583772,22.864901021030345,21.91326596118163,28.659663023027036,17.359425312860957
0.02,18.694759443523125,19.7807951682371,18.83158768656933,22.437485625638097,13.86959286807802
0.03,16.5780374976967,16.39991054352628,16.81016520595441,20.61512788402074,12.107521276303455
0.04,15.319469964989866,14.963433277290772,15.322053349785476,18.682802877982823,10.757347882040952
0.05,14.318174221485169,13.819044872175843,13.92592012577773,16.570815054451042,9.799116278660835
0.06,13.300576193108533,12.783208407752477,12.530357894938453,14.965421819480888,9.333323528506698
0.07,12.529519439837852,11.793683124322746,11.706219618150623,13.95331072178737,8.710840664835715
0.08,11.79969633314907,11.038430105558607,10.80279712179569,13.071903081350882,8.208067783151941
0.09,11.130357103372027,10.538998237057957,10.122632707642953,11.818764591635471,7.707684270075361
0.1,10.57518850193477,10.030903173295677,9.591155340687276,10.887720031799708,7.506640858041847
0.11,10.02739524599226,9.431759479354618,8.920627372217345,10.383955631364973,7.082427370209549
0.12,9.55155223880597,8.997054509557808,8.53823596546976,9.85129311073542,6.7461283139302965
0.13,9.286179104477615,8.735862856619857,8.037363706175194,9.376387362637361,6.4695357777536
0.14,8.973822369633307,8.2736992102717,7.6397079569355535,8.993823964497043,6.205928263155986
0.15,8.46031288004422,8.006851324494653,7.245607475751658,8.586251056635671,6.02296939034563
0.16,8.08171144278607,7.61944696791402,7.030020703769273,8.113850732600726,5.804705871686071
0.17,7.768610281923715,7.364037852043617,6.729378251395887,7.710280360664976,5.583739527798933
0.18,7.487808734107242,6.984998862477444,6.482995823686959,7.312867004790081,5.4296648895658794
0.19,7.275824212271972,6.654299835255356,6.243083310635978,6.964337841645535,5.239725818735721
0.2,7.044664455500276,6.338577704557938,6.0691096849607336,6.595301493378417,5.103818735719726
0.21,6.757693753454947,6.1798352553542,5.8977788483362845,6.382921949845026,4.9769459253617665
0.22,6.4773841901603095,5.984772103239976,5.621739627309457,6.169199070160606,4.888035034272657
0.23,6.268497512437813,5.770488742449204,5.412975725180442,5.954220202874051,4.7450875856816435
0.24,6.0124842454394685,5.554464579901153,5.202855939897409,5.709769371653971,4.637547600913938
0.25,5.754745163073521,5.3555738605162,5.04460760815289,5.50270287404903,4.511424219345012
0.26,5.458007739082365,5.210340472267984,4.891591402242497,5.302935333896869,4.384325971058645
0.27,5.271164179104478,5.08279516749039,4.708067411139863,5.175238799661877,4.274607768469156
0.28,5.102332780541736,4.899923119165294,4.577033092741386,4.973970836855449,4.164051789794363
0.29,4.951802100608069,4.734481054365734,4.402816037949973,4.82708157227388,4.0526580350342725
0.3,4.838540630182422,4.568429434376718,4.258621907485589,4.698273457311918,3.977989337395279
