Alpha,Std
0.01,0.34488167190931796
0.02,0.34488167190931796
0.03,0.34488167190931796
0.04,0.34488167190931796
0.05,0.34488167190931796
0.06,0.34488167190931796
0.07,0.34488167190931796
0.08,0.34488167190931796
0.09,0.34488167190931796
0.1,0.34488167190931796
0.11,0.34488167190931796
0.12,0.34488167190931796
0.13,0.34488167190931796
0.14,0.34488167190931796
0.15,0.34488167190931796
0.16,0.34488167190931796
0.17,0.34488167190931796
0.18,0.34488167190931796
0.19,0.34488167190931796
0.2,0.34488167190931796
0.21,0.34488167190931796
0.22,0.34488167190931796
0.23,0.34488167190931796
0.24,0.34488167190931796
0.25,0.34488167190931796
0.26,0.34488167190931796
0.27,0.34488167190931796
0.28,0.34488167190931796
0.29,0.34488167190931796
0.3,0.34488167190931796
