Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,31.745720603366898,24.797926305254233,11.279563117410108,16.81798619866198,12.668469947107956
0.02,28.46186266721381,19.011470104063722,9.013510827622815,13.62592100653307,10.328883124941088
0.03,26.271828252701216,16.75455381704645,7.566107947605445,12.161092744917024,8.756373949010333
0.04,24.695889005009608,14.319631205479899,6.73254403766904,10.64062130644513,7.833604066535935
0.05,23.829385532760295,13.035550631191718,6.005506094568963,9.713583817639174,7.415765960720008
0.06,22.68438658368595,12.112134626229924,5.3897454103249975,9.034587968071866,6.824072760927596
0.07,21.91313172613369,11.239357432376154,5.041602655012504,8.661671895432708,6.290105866882768
0.08,20.928157706567074,10.433748832919855,4.580116941753736,8.35367628338829,5.890402131880986
0.09,20.057944602679566,9.841265508587275,4.15256551494424,7.91537088223302,5.576756463326181
0.1,19.34370580437655,9.126152062371464,3.793055036685817,7.526220816059395,5.212059705536034
0.11,18.68511572453796,8.569862195114498,3.6407106916765377,7.28131220686509,4.918058141893502
0.12,17.819300819525022,7.875715369245502,3.4847556962993713,6.974553384107549,4.604236927320934
0.13,17.01349767558874,7.380002798249681,3.324586604703079,6.658686227889628,4.279639270303786
0.14,16.412340443234918,6.936008266397616,3.2327114296770953,6.3737459725758,4.088877936597962
0.15,15.950321680097764,6.495724724325923,3.096159287231087,6.092893554633565,3.9425675781423135
0.16,15.490411817117314,5.995801069360159,2.9291410568375356,5.824613465765705,3.7867462254301367
0.17,14.81561561215123,5.680925791766325,2.8023427824007,5.590325179931063,3.623510110476216
0.18,14.379053908975287,5.344328584571336,2.6803651412634664,5.414074143145854,3.467188180779439
0.19,13.905491768389608,5.12345001150027,2.5929433901153174,5.197938523116823,3.339508659451317
0.2,13.225176993684133,4.806277367725473,2.5127689372356303,4.923325008460689,3.2215979641558286
0.21,12.681731770236535,4.53797382546683,2.4525802650900768,4.782950781082928,3.129329281438063
0.22,11.979057801291871,4.319094046756704,2.346030197823752,4.574403695311824,2.9677100390899556
0.23,11.487844241963954,4.120452823370807,2.22260586917069,4.340967238434647,2.814288785415487
0.24,11.011062213952197,3.9610446795566796,2.057440778093217,4.100891841517342,2.7287830742807446
0.25,10.600797936983044,3.7704882904738506,1.9531571758750692,3.9061420091562042,2.642921460983646
0.26,10.208009064059306,3.5945658337479314,1.8925278375166772,3.6783681074862673,2.54814260369536
0.27,9.828709307424981,3.431398026390786,1.8341608018081388,3.526925933699755,2.4525689102455877
0.28,9.417946083272673,3.257068824891794,1.7459675766936877,3.3911392700257244,2.3478083840334474
0.29,9.003430637671203,3.06082005818093,1.676187010311754,3.2342504140220205,2.2426590524212133
0.3,8.648360313070471,2.899821782199432,1.5877857420099428,3.1163498617859373,2.159371541008446
