Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.02,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.03,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.04,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.05,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.06,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.07,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.08,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.09,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.1,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.11,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.12,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.13,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.14,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.15,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.16,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.17,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.18,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.19,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.2,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.21,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.22,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.23,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.24,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.25,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.26,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.27,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.28,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.29,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
0.3,5.642632872836837,4.109450827416653,1.6967425715302864,2.884715620746892,1.6683934683241366
