Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,6.332932416343042,5.984411267234497,2.5349776324488866,3.361558714272022,2.7879620914256855
0.02,6.035566635586218,4.577963890265875,2.032246849330915,3.0063957786742503,2.3529952118579995
0.03,5.680178714878172,3.9957458097613934,1.6459521656645268,2.767172920923762,1.9755636348878922
0.04,5.377669951900804,3.341490479458866,1.4202705657084547,2.4119676064917064,1.7388932639851535
0.05,5.200145063072529,2.9915020490286444,1.2242731322905633,2.1694820690643515,1.6309895283782774
0.06,4.956964366196645,2.7357980225076974,1.0637662306597369,1.9880078330638755,1.47747506224841
0.07,4.784673516857174,2.4949284625465618,0.9728148496621251,1.8888965222406418,1.3378314357484098
0.08,4.558291046974168,2.2749211905024067,0.8541560313128538,1.8067781409863088,1.2321892546942204
0.09,4.347013241961448,2.115948043706324,0.74813721744469,1.6907973207261178,1.1500513125877319
0.1,4.16731781920083,1.9265201813575663,0.6624366874418842,1.5889961084197572,1.0550158654543473
0.11,4.001816248964699,1.7808272784630432,0.6271917725265315,1.5260411819105684,0.9771807048507501
0.12,3.78218980134418,1.594365801475074,0.5909584598659968,1.448573405471711,0.8954435219202451
0.13,3.571802582807838,1.4642468424201085,0.5543957252341558,1.3662206041689686,0.8134717729876225
0.14,3.4105442527540686,1.3493087201297798,0.5337955944201551,1.2879366728493506,0.7669033828255242
0.15,3.287578567521798,1.2348533560521895,0.5037400386820404,1.21159625625948,0.7314338374806264
0.16,3.164814441479874,1.107690052267309,0.46754583627825724,1.140359637087252,0.693932520153408
0.17,2.9783930849944187,1.0302885923061003,0.44070093135821914,1.0797533073911658,0.6550752797744368
0.18,2.858931643429846,0.9492396640091487,0.4153690104258798,1.0348463617350068,0.6177597728358047
0.19,2.729137504937089,0.8959961945535602,0.39757091914319503,0.979011382532946,0.5875721974618222
0.2,2.542052914963914,0.8212128914669106,0.38154128716058305,0.9069015917109997,0.5600692761403449
0.21,2.3939030905121452,0.759870868470283,0.3696954553434265,0.8708146581034032,0.5388602433133014
0.22,2.2039410371962407,0.71139114404298,0.34917296482362853,0.817946730299298,0.5023587838334452
0.23,2.073123798790228,0.6684050431453809,0.3260043490126296,0.7601766210341985,0.4685330260813216
0.24,1.946226556209858,0.6345672840859564,0.2961571873585062,0.7024552918250668,0.4501020790898057
0.25,1.8383395549752992,0.5947095898336808,0.27791670575461225,0.657158451095295,0.4318771652187311
0.26,1.7366268730360164,0.5582229308952448,0.26753204801780833,0.6058470342223313,0.41213509641781443
0.27,1.6399486350604764,0.524713098186766,0.25748420286130036,0.5717205716941335,0.39252142238757826
0.28,1.5367662713676324,0.48953157457022567,0.2424337227399165,0.5415672059165693,0.3714549352614321
0.29,1.4345251850256848,0.4508334164975438,0.23065325179856605,0.5074039223685518,0.35086138877571293
0.3,1.3484430413388921,0.41990832041036397,0.21590199801454407,0.4822231825415154,0.33496784307493555
