Alpha,Std
0.01,4.02672303804466
0.02,3.1017931734111697
0.03,3.0141513681058516
0.04,2.8182371990885904
0.05,2.4446333021036124
0.06,2.0490302702590335
0.07,1.9171532481198152
0.08,1.7864977201933223
0.09,1.5651059013777522
0.1,1.3329594687899422
0.11,1.293974126349652
0.12,1.222277580772461
0.13,1.19455579752771
0.14,1.1573588386362037
0.15,1.057147248205394
0.16,0.9591378098995921
0.17,0.90856250224839
0.18,0.8262033110322696
0.19,0.7893994545457625
0.2,0.7251003334256649
0.21,0.6712935000704938
0.22,0.6100760909527579
0.23,0.5836745871007987
0.24,0.5273540703320162
0.25,0.47857654057083693
0.26,0.4255494374954761
0.27,0.4107489150015224
0.28,0.377431257206811
0.29,0.3645841637640203
0.3,0.3479803306607098
