Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.02,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.03,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.04,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.05,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.06,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.07,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.08,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.09,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.1,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.11,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.12,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.13,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.14,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.15,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.16,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.17,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.18,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.19,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.2,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.21,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.22,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.23,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.24,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.25,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.26,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.27,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.28,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.29,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
0.3,4.007090414330464,4.406080190829367,4.019583363958749,4.832892613643987,4.169809380938093
