Alpha,Std
0.01,1.4529988018152478
0.02,1.4529988018152478
0.03,1.4529988018152478
0.04,1.4529988018152478
0.05,1.4529988018152478
0.06,1.4529988018152478
0.07,1.4529988018152478
0.08,1.4529988018152478
0.09,1.4529988018152478
0.1,1.4529988018152478
0.11,1.4529988018152478
0.12,1.4529988018152478
0.13,1.4529988018152478
0.14,1.4529988018152478
0.15,1.4529988018152478
0.16,1.4529988018152478
0.17,1.4529988018152478
0.18,1.4529988018152478
0.19,1.4529988018152478
0.2,1.4529988018152478
0.21,1.4529988018152478
0.22,1.4529988018152478
0.23,1.4529988018152478
0.24,1.4529988018152478
0.25,1.4529988018152478
0.26,1.4529988018152478
0.27,1.4529988018152478
0.28,1.4529988018152478
0.29,1.4529988018152478
0.3,1.4529988018152478
