Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,4.1328592368311945,4.2041815749392555,4.255805734446278,5.52322166567187,3.411030673918126
0.02,3.4570544131844896,3.832801817245142,3.8135644122032155,4.602680216904286,2.6524804879454007
0.03,2.9491718613318176,3.1869184247419535,3.4344104145539496,4.234870824221629,2.225463954741954
0.04,2.632999080783634,2.858550384559958,3.1025569838880687,3.7834559127104943,1.873114916357572
0.05,2.3780723091411424,2.581076259741823,2.757984132765919,3.2473820688616866,1.6135457294599613
0.06,2.114736291639859,2.321378532962632,2.396213968908982,2.821543030571493,1.4872361963650567
0.07,1.912565619899242,2.0655933551723806,2.180468190454495,2.55471805619962,1.3192901374995691
0.08,1.7239932049300513,1.872441756158524,1.9432461575777096,2.3240399719774625,1.1869300716327835
0.09,1.5542056535573396,1.7469846035232817,1.765590575264547,2.002189978524502,1.0579461979436318
0.1,1.4166094872317505,1.6218580213109346,1.628038857355108,1.7676068543011192,1.0068503009942515
0.11,1.2847286580949349,1.4766835574371193,1.4579620792089898,1.6436652002159922,0.9010706673293201
0.12,1.1728873741001826,1.3732733455229238,1.3618420882408766,1.5138709528385759,0.8196467334403145
0.13,1.1119235068127875,1.311984609327684,1.2366082856360632,1.400276336963369,0.754421536630801
0.14,1.0415356988105928,1.2057052759662592,1.1381668321421208,1.3104275027069245,0.6940603465522557
0.15,0.9295442426915477,1.1457735600002832,1.0425286534696903,1.2167788467112057,0.6534114162113789
0.16,0.8495959008781221,1.0607027227539223,0.9910143333173913,1.110488256735773,0.6063425950692719
0.17,0.7853514225902228,1.0058202085722843,0.9203174159949687,1.0218790203525228,0.5602674117527543
0.18,0.7292830565519799,0.9259738209389862,0.8634125148312006,0.936742701724658,0.529307450030306
0.19,0.6879928924531559,0.8581398321972286,0.809076799918687,0.8639752888182125,0.4925310396849308
0.2,0.6440097773518341,0.7952212489905762,0.7702686745117295,0.7889735126978155,0.46717735228852725
0.21,0.5908413590125974,0.7643000087249515,0.7326364892105207,0.7467785970740168,0.4441203026543367
0.22,0.5404925563045113,0.7269330420875514,0.673208199702762,0.7049727988967073,0.42828901203299324
0.23,0.5041901114233117,0.686614894784023,0.6292504467447726,0.6635852524485801,0.40356051945387134
0.24,0.46108577592350436,0.6466686493875484,0.58594393613103,0.6173507878248452,0.3856539171976845
0.25,0.4192972743384445,0.610623291953738,0.554070454037081,0.5788993769553104,0.3654120947880404
0.26,0.373290085664068,0.5847580728755073,0.5238905048359543,0.542540219460339,0.3458215694123491
0.27,0.34542216360629086,0.5623476290533843,0.4885053326454155,0.5196306925776422,0.32955903400330644
0.28,0.32101056199128075,0.5307210130096774,0.4637767702283467,0.4841088050837892,0.3137484894090633
0.29,0.29990804298410334,0.5025859731472617,0.4315865226557844,0.4586471125160791,0.2983744018330895
0.3,0.28444900551867774,0.4748042217318254,0.4055775234411846,0.4366696429092728,0.28837054610152335
