Alpha,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0.01,0.9712548369264787,0.9643053267435475,0.9699714013346044,0.9683009298393914,0.9253617669459253
0.02,0.9402985074626866,0.9357495881383855,0.9475691134413727,0.9319526627218935,0.8667174409748667
0.03,0.9154228855721394,0.8945634266886326,0.9175405147759771,0.9125105663567202,0.8255902513328256
0.04,0.8905472636815921,0.8616144975288303,0.8937082936129648,0.8871513102282333,0.7989337395277989
0.05,0.8717523493642897,0.8352553542009885,0.8636796949475691,0.863905325443787,0.7631378522467631
0.06,0.8490878938640133,0.8088962108731467,0.8350810295519543,0.8402366863905325,0.7448591012947449
0.07,0.8291873963515755,0.7770455793520044,0.8079122974261201,0.8191039729501268,0.7242955064737243
0.08,0.810392482034273,0.7578253706754531,0.7855100095328885,0.7983939137785292,0.7029702970297029
0.09,0.7833056937534549,0.7369577155409116,0.7616777883698761,0.7654268808114962,0.6816450875856817
0.1,0.7650635710337202,0.7182866556836903,0.7459485224022879,0.7417582417582418,0.6694592536176694
0.11,0.7440574903261471,0.6946732564524987,0.7206863679694948,0.7265426880811496,0.6504188880426505
0.12,0.720840243228303,0.6798462383305875,0.7054337464251669,0.7071005917159763,0.6275704493526276
0.13,0.7114427860696517,0.671059857221307,0.6863679694947569,0.6910397295012679,0.6138613861386139
0.14,0.6976229961304589,0.6518396485447556,0.6658722592945663,0.6783601014370245,0.6009139375476009
0.15,0.6694306246545052,0.6414058209774849,0.6468064823641564,0.6639898562975486,0.5841584158415841
0.16,0.6539524599226092,0.6265788028555739,0.6358436606291706,0.6445477599323753,0.5712109672505712
0.17,0.6340519624101714,0.6084568918176826,0.622974261201144,0.6293322062552832,0.5597867479055598
0.18,0.6207849640685461,0.5886875343218012,0.605815061963775,0.6136939983093829,0.5491241431835491
0.19,0.6080707573244887,0.5771554091158704,0.59628217349857,0.5967878275570583,0.5277989337395278
0.2,0.5981205085682698,0.5628775398132894,0.5834127740705434,0.5777683854606932,0.5201827875095202
0.21,0.5876174682144831,0.5507962657880285,0.5695900857959962,0.5676246830092984,0.5133282559025133
0.22,0.5688225538971807,0.5387149917627677,0.555767397521449,0.5612848689771767,0.5034272658035034
0.23,0.5616362631288004,0.5227896760021966,0.544327931363203,0.5528317836010144,0.49657273419649656
0.24,0.5483692647871752,0.5096101043382757,0.5347950428979981,0.5359256128486898,0.48895658796648894
0.25,0.5323383084577115,0.4964305326743548,0.5224022878932316,0.525781910397295,0.4782939832444783
0.26,0.5135433941404091,0.4903898956617243,0.5104861773117254,0.5135249366018597,0.4645849200304646
0.27,0.5035931453841902,0.4827018121911038,0.49952335557673977,0.5084530853761623,0.45316070068545317
0.28,0.494195688225539,0.4744645799011532,0.4914204003813155,0.49535080304311074,0.44478293983244477
0.29,0.4842454394693201,0.45799011532125206,0.47283126787416585,0.48647506339814034,0.43335872048743335
0.3,0.4792703150912106,0.4497528830313015,0.4642516682554814,0.47886728655959426,0.42726580350342724
